,No,Tweet,Comment,Domain,Label
3380,3381,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,yg gw takutin tu restoran kena impactnya jadi tutup trus bangkrut kasi anjirr gara2 satu org rembet gitu,Health,Contra
3381,3382,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,yaallah orang yang kek gitu bisa ilang aja ngga sih gue cape banget ngga kelar kelar ni pandemiiii,Health,Contra
3382,3383,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,heran ama wanita begini emosi bisa tetep paripurna pesona emojiemojiemoji saya senyum ajj harus tata biar liat yahud,Health,Contra
3383,3384,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ga kenal ga kenal wkwkw,Health,Neutral
3384,3385,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,aku aja gak berani keluar rumah sakit tenggorok udh 4 hari dan aku gak berani tes pcr,Health,Contra
3385,3386,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ini mz selebgram jalur apaya ga pernah tau dia siapaaa trs nama jg asing bgt wkwkwk,Health,Neutral
3386,3387,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ko bisa ya yg begitu jd influncer apa yg buat tarik smpe org mau follow,Health,Contra
3387,3388,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,karya kah,Health,Uncorrelated
3388,3389,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,virus ni lama kayak virus zombie kembang,Health,Uncorrelated
3389,3390,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gw mau ngatain pemer1ntah sekarang juga jadi segan orang rakyat aja juga banyak yg goblok,Health,Contra
3390,3391,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,setan sih emang mz tuh paling nangis2 bawa2 bipolar lagi,Health,Uncorrelated
3391,3392,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,nemu influencer goblok ken silaturahmi medsosnya dah ilang gitu ae trs emoji,Health,Contra
3392,3393,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ini mahluk apa sih mz tu siapa siapa megi z,Health,Neutral
3393,3394,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,tuh yg pake jilbab influencer i fluensa kali gw kaga pernah liat dia,Health,Neutral
3394,3395,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gw kaga pernah liat diakatanya dia ke cafe sambil nunggu hasil pcr keluar dan hasil si laki positif cuy giling emang,Health,Contra
3395,3396,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,lahhh bujug ci nyablak juga kalo ngomong ente betawi mane dah,Health,Uncorrelated
3396,3397,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kemaren yg model mba2 jelly potter aja bom kelar ini ada lagi model mba2 capcin,Health,Contra Sarcasm
3397,3398,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gue pernah ketemu ama suami tuh lagi cek di salah satu rs di bandung doi pake masker sih dan dateng sendiri,Health,Neutral
3398,3399,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,moga hari si selebgram itu berat hari di hidup ku mslhnya covid itu sakit bgt bangke emojiemojiemojiemoji,Health,Contra
3399,3400,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,arti dia ke cafe ga check in pedulilindungi harus kan kedetect,Health,Neutral
3400,3401,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,orang susah susah buat pada diem isoman kalo kena covid ehh malah bisa mabur mana mana nih bocah,Health,Contra
3401,3402,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,sumpah goblok lebih orang goblok mau ngatain udah gabisa jadi angkat tangan aja w gakuat,Health,Contra
3402,3403,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,makin banyak influenser atau selebgram yg beting tidak guna apalagi di kondisi skrg masyarakat itu lagi mudah sensi ada yg hidup sulit gara2 pandemi ini,Health,Contra
3403,3404,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,alah dia mah ga mau disalahin apa itu masalah muka tebel dia,Health,Neutral
3404,3405,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,nih buat doi,Health,Neutral
3405,3406,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,whyy suara elang,Health,Contra
3406,3407,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,selebgram siapa sih tiap hari main ig tapi gak kenal dia,Health,Neutral
3407,3408,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,udah gabisa kata kata sama ni org wkwkw aneh dan luar biasa laku,Health,Contra
3408,3409,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,wah perintah nih nggak becus tangan pandemi ckckck,Health,Contra
3409,3410,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ni punya sakit typhus masih bisa nongkrong anjir sini yg asam lambung kumat dikit aja dah guling2,Health,Contra
3410,3411,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,masalah nya yg kena warga kecil klu ppkm aja tingkat mulu harus jadi publik figur tuh ada empati nya dong jangan egois,Health,Contra
3411,3412,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gas terus mbaaa krn yang gin emang harus gas huhu resah,Health,Contra
3412,3413,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,knp sih goblok itu ga musnah,Health,Contra
3413,3414,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,udh hampir 3 taun masih ada aje yg begini pantes aja demi gaberes2,Health,Contra
3414,3415,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kek temen gue kalau ngedumel logat pitch nya tinggi nyeblaknye,Health,Uncorrelated
3415,3416,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,anjirr ini orang problematik banget kek belum lagi tas kw,Health,Uncorrelated
3416,3417,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,harap aja anak jadi anggota pp,Health,Uncorrelated
3417,3418,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kudu di sunat lagi tuh,Health,Contra Sarcasm
3418,3419,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,dia yg kasus jual tas kw gaksihhhh,Health,Neutral
3419,3420,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,diliat2 video nya bawa mba nya greget yha,Health,Uncorrelated
3420,3421,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,bangkeee rawaaa telah 14x scroll gua ga tau dia siapaaaaaaaaaaa,Health,Uncorrelated
3421,3422,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gue suka nih kalo ci agnes dah speak up,Health,Neutral
3422,3423,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ci kamu wakil seluruh rakyat indonesah,Health,Neutral
3423,3424,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ev aja hujat abis kabur karantina harus yg kek gin juga udh jelas2 positif malah jalan sana sini,Health,Contra
3424,3425,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,cakep nih mbak,Health,Uncorrelated
3425,3426,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mengcape nanti juga ujungujungnya bawabawa bipolar nya lagi huehuehue,Health,Contra
3426,3427,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kalo ga takut korona minimal malu kalo nularin ngapa emoji,Health,Contra
3427,3428,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gws deh orang orang tolol,Health,Contra
3428,3429,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,wkwk kek si bintang emon,Health,Uncorrelated
3429,3430,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mz ni emg problematic bgt dh heran,Health,Contra
3430,3431,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,nih orang kok kayak problematik bgt dah,Health,Contra
3431,3432,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ada jual spotify murah hari ini emoji,Health,Uncorrelated
3432,3433,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,medina ni selain suka nipu trnyata juga tolol abis ya,Health,Contra
3433,3434,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kalo udah ngeyel mah susah dibilangin,Health,Contra
3434,3435,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,medina zein siapa cok selebgram apa ga kenal gw,Health,Neutral
3435,3436,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kalimat yg sampe hari ini sy ingat dr salah satu temen ieu jelma masalah jiga na,Health,Contra
3436,3437,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,harus kluar dr cafe tu orang tabrak kereta biar mati virus covidnya,Health,Contra
3437,3438,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,itu limijati bandung ga sih apa rsia limijati ada selain di bandung,Health,Neutral
3438,3439,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kok bisa ada yang terinfluence sama model bgini,Health,Contra
3439,3440,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mention yg bikin aku gk bisa mudik,Health,Contra
3440,3441,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ga abis abis emang orang kaya gin tokay,Health,Contra
3441,3442,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,tau ah sejak korona makin banyak orang ogeb,Health,Contra
3442,3443,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ken ngomong anjing bgt lo tapi ga enak,Health,Contra
3443,3444,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,covid akan ada terus di indonesia,Health,Neutral
3444,3445,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mz rame pas ada masalah mulu anying problematik amat emojiemoji,Health,Contra
3445,3446,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,medina zein emg gpunya otak,Health,Contra
3446,3447,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,bisa gak sih mereka di penjara aja,Health,Contra
3447,3448,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,udeh problematik goblok natural lg hadehhh,Health,Contra
3448,3449,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,biasa aja mbak nya jgn ngegass,Health,Uncorrelated
3449,3450,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,yang tas tas brandes gitu kan emoji,Health,Uncorrelated
3450,3451,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mampus laki nye jd rachel vennya pt2,Health,Uncorrelated
3451,3452,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,yg hehehe libur keluar negri org kaya yg dampak org miskin,Health,Contra
3452,3453,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mz siapa sih sorry ga kenalsmiley but u asdfghjklemoji,Health,Neutral
3453,3454,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,si paling junjung tinggi bipolar,Health,Neutral
3454,3455,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,untuk kaka di video makasih banget saya wakil,Health,Neutral
3455,3456,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,influencer nularin influenza emoji ga heran,Health,Contra Sarcasm
3456,3457,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kan gw bilang apa kann laku rakyat kelas atas moyai,Health,Contra
3457,3458,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,medin zen siapa dah serius nanya mon maap,Health,Neutral
3458,3459,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mz itu tampil doank yg islami laku syaithoni,Health,Contra
3459,3460,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,bisa bisa gara gara dia makin melunjak kasus coro kacauu,Health,Contra
3460,3461,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mz mah emang kenal dengan ke tolol,Health,Contra
3461,3462,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,dari awal dia ada huru hara sama zs dan laki udah ga respect sama ni orang,Health,Contra
3462,3463,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,salfok sama kulit muka mbak sehat banget emoji,Health,Uncorrelated
3463,3464,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,selebgram maaf ga kenalemoji,Health,Neutral
3464,3465,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,besteeiii ayok spill dengan detail y bestie,Health,Neutral
3465,3466,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,dia yg buat tapi gw yg malu,Health,Contra
3466,3467,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,siapa sih ini mz smiley,Health,Neutral
3467,3468,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,nitip jejak,Health,Uncorrelated
3468,3469,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,imosyenal damageemoji,Health,Contra
3469,3470,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mood bgt ngomongnya tolong,Health,Uncorrelated
3470,3471,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mz ni siape lagi,Health,Neutral
3471,3472,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kalo spill orang ga usah pake inisial bisa ga si,Health,Neutral
3472,3473,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,no akhla viral viral,Health,Contra
3473,3474,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kasi punya duit tapi ga punya otak,Health,Contra
3474,3475,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,sejak cerai ama laki dulu trs jadi problematic gin emoji,Health,Contra
3475,3476,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ati2 mbak si mz tukang ngadu2,Health,Neutral
3476,3477,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gatau ah mulai cape sama orangorang kaya tapi goblokemojiemoji,Health,Contra
3477,3478,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,bayak ulah banget yah mz apa dia udah balikin utang dari barang kwnya,Health,Contra
3478,3479,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,aduh jadi pikir kalau pasti ada orang lain juga yg demikian emoji,Health,Contra
3479,3480,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,aduh jadi pikir kalau pasti ada orang lain juga yg demikian emoji,Health,Contra
3480,3481,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,serius gw gk tau dia siapa,Health,Neutral
3481,3482,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,selfish people pro max,Health,Contra
3482,3483,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gin dong emosyyyy,Health,Neutral
3483,3484,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,hadeehhh,Health,Contra
3484,3485,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,cokin trying so hard to being betokaw what in the cingcong fuck,Health,Uncorrelated
3485,3486,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,mood banget,Health,Neutral
3486,3487,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,covid19s mutations went faster than the development of our peoples intelligenceemoji,Health,Contra Sarcasm
3487,3488,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,sik udah balik lagi covid holier than thou v covidiot,Health,Uncorrelated
3488,3489,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,bu puan maharani biar bening kayak gin,Health,Uncorrelated
3489,3490,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,itu lah kenapa trust issue ku makin gak bendung lihat tayang kaya gin udah jelas hasil nya positif malah masih santai jalan ngafenongkrong ngopi bukan nya langsung pulang terus karantina mandiri,Health,Contra
3490,3491,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,buset si mz nih nyari masalah ml deh,Health,Contra
3491,3492,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,pandemi dah 2 tahun di reply section mas ada aja yang ga percaya kopit sungguh nggumun,Health,Contra
3492,3493,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ini yg sebut om icron vs pop cron wkwkwk sopasti,Health,Contra Sarcasm
3493,3494,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,wkwkwk kapan2 kalo edukasi ke pasien kek gin dah betawinye keluarin biar pade paham,Health,Uncorrelated
3494,3495,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,padahal cewek jil sinyalhilang,Health,Uncorrelated
3495,3496,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,sumpah gue emosi banget anjing,Health,Contra
3496,3497,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,sudah mau tahun ke 3 loh ya bund masih ada bangsat yang begitu dan diidolain hahahaha,Health,Contra
3497,3498,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,dah tau positif masih aja keluyur,Health,Contra
3498,3499,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gw ken julid mbak itu tulis bilang yg nyinyirin dia harus ngaca udah sempurna atau belum baru nyinyirin dia like girlstfu,Health,Contra
3499,3500,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ken kata kasar sumpah,Health,Contra
3500,3501,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,lepas ting atau engga manusia jaman sekarang apa apa jadi konten kalau settingan buat apa sih seeker attention kalau asli itu bener bener tolol sih,Health,Contra
3501,3502,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,manusia model gin bisa dimusnahin aja kaga si gedeg amat liat nya,Health,Contra
3502,3503,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,eh limijati bandung dong,Health,Neutral
3503,3504,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,nongkrong dulu belum suruh masuk rumah emojiemoji,Health,Contra Sarcasm
3504,3505,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,gregetttt apalagi daya tahan tubuh orang beda2 dan jelas gejala trus dampak beda2 juga akdhsjsj,Health,Contra
3505,3506,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kalau ini beneran nyata ada harus sanksi sosial yg kelen kasih ke dia lebih besar dari mbak r itu loh netijen si r kabur dari karantina tapi atleast she was never been tested positive lah si nganu ini kan udah fix positif yang arti dia udah bawa virus di badan,Health,Contra
3506,3507,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ga selesai selesai ni c word kalau gin cara mah cape anjinkkkkk,Health,Contra
3507,3508,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,udah 2 taun tapi manusia bego mah gak ilang2 euy,Health,Contra
3508,3509,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,otak sakit hati sakit,Health,Contra
3509,3510,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,egois ajg ga liat apa bagi orang udah pada pilek demam tolol,Health,Contra
3510,3511,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kalomaumetongmetongajasendiri kagakusahngajak2orangdisekelilingbaammmmmbaangggggg,Health,Contra
3511,3512,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,dan belum gabisa ngevape hhh iya deh udh paling bener gue ga keluar2 rumah,Health,Contra Sarcasm
3512,3513,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ce jennifer ini emang muantap kalo julid emojiemoji,Health,Uncorrelated
3513,3514,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kalau kata rega nguntat nguntot nguntat nguntot gua tambah babi haram dah,Health,Contra
3514,3515,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,si paling pede nongki telah nyata emojiemojiemoji,Health,Contra Sarcasm
3515,3516,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,dese nungguin hasil pcr sambil nongki di cafeemojiemoji sangat bijakemojiemoji,Health,Contra Sarcasm
3516,3517,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ini kenapa gue meminimalisir keluar rumah lama2 karna banyak orang2 yg ga peduli sama orang lain kayak gin emoji,Health,Contra
3517,3518,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,dlu ngefans bgt ama si mz ini pernah beli jilbab dia yg zoya x mz tp semenjak tau dia toxic ku henti ngikutin,Health,Contra
3518,3519,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,kemaren abis swab masal dr kantor aja suruh langsung pulang gue td pagi belum boleh berangkat kl belum ada hasil,Health,Contra
3519,3520,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,hadeh masa semua harus masuk instagram menteri baru minta maaf anjir mending dikumpilin jadi 1 yang positif suruh nge vape ke muka orang yang positif juga itu ruang,Health,Contra
3520,3521,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,ken bgt jadi jennifer agnes coba rakyat biasa yang ngespill abis dah diperkarain cemar nama baik,Health,Neutral
3521,3522,dis suami selebgram mz konfirmasi positif tapi masih bisa nongkrong di cafe terus pesan makan minumanemojiemojiemoji,pt transfer knowledge nt julid tapi sukak lihat care mbak cicik ngomong nye,Health,Uncorrelated
